ac,floored charge rate,sd/a
5.885245902,5,0.000720194
5.885245902,5,0.00058079
5.881147541,5,0.000746856
5.87704918,5,0.000912817
5.87704918,5,0.001021579
5.87704918,5,0.001015554
5.87704918,5,0.000892186
5.87295082,5,0.000913852
5.87295082,5,0.000806852
5.87295082,5,0.000493187
5.868852459,5,0.000519071
5.87295082,5,0.000493359
5.864754098,5,0.000691638
5.868852459,5,0.000639473
5.864754098,5,0.000549629
5.864754098,5,0.000539278
5.864754098,5,0.000494596
5.864754098,5,0.000404327
5.864754098,5,0.000402474
5.860655738,5,0.00030614
5.860655738,5,0.000360184
5.864754098,5,0.000323544
5.856557377,5,0.000528437
5.856557377,5,0.000619755
5.860655738,5,0.000583531
5.860655738,5,0.000547977
5.856557377,5,0.000566613
5.860655738,5,0.000556433
5.856557377,5,0.000599381
5.856557377,5,0.000406833
